PCA1,PCA2
-1978.0028423647382,-5.749697286761999
-1977.0027289948484,-5.859880943340925
-1976.0030590839451,-6.197693096967545
-1975.002381687631,-6.427307513488622
-1974.0027976118763,-7.591408019263022
-1973.00281314705,-7.394955813709038
-1972.00306628627,-7.357578258846448
-1971.002914529301,-7.613694662796214
-1970.0033812130168,-7.745604435495538
-1969.0030139643568,-7.21735653480579
-1968.0027105663612,-6.608259939399701
-1967.002479500472,-5.88050491313014
-1966.0029550686013,-7.036702984187474
-1965.0034696786388,-7.662574551989164
-1964.0039117798406,-8.269733290509343
-1963.0039345710393,-8.219972059459213
-1962.0034046333203,-7.805719898907589
-1961.003705106632,-8.459816235020831
-1960.0032922930295,-7.435156472086663
-1959.0033489169546,-8.662587012683108
-1958.0035185149572,-7.938668242162163
-1957.0025667825394,-6.2100064726878115
-1956.0033424587236,-6.58696486733422
-1955.0041838400793,-8.816926274272351
-1954.0037935311957,-8.719298952901934
-1953.003579647535,-8.778876146362368
-1952.0036194617314,-7.468994615793991
-1951.0040752071582,-8.598004730848604
-1950.004590169232,-10.104905328333189
-1949.0048499168406,-10.145498396860816
-1948.0049723234006,-10.177700825173101
-1947.0045718083893,-9.933433177726322
-1946.0051643775842,-11.035174879636731
-1945.0058982777737,-13.672262007241773
-1944.0064505234768,-14.361675214593987
-1943.0047964535115,-13.127963117766921
-1942.0043827009322,-11.949184905895102
-1941.005410839749,-13.12154481327299
-1940.0045855582139,-11.11976575352356
-1939.0056242717947,-12.780084684686614
-1938.005678442576,-11.901311487188718
-1937.005720937199,-12.320714808791578
-1936.005448885655,-12.886804523971147
-1935.0054744022746,-12.229915380622803
-1934.0049414228306,-10.158533869002465
-1933.0040083367421,-8.867246910418213
-1932.0039813479743,-7.843175368915753
-1931.003524443502,-7.439782949818928
-1930.0033351123893,-6.280865497920737
-1929.0035182362335,-6.68202268740245
-1928.0032283482433,-7.241950395335352
-1927.0019023672576,-5.839813105553348
-1926.0014627755081,-4.756127774441022
-1925.0020811778122,-4.992479865787046
-1924.001359800608,-3.3074511544191685
-1923.0014868439794,-2.8949988868908756
-1922.0023399379497,-4.901659538976415
-1921.002273164744,-5.252065729397796
-1920.0022990024154,-5.1018160465585565
-1919.0011866241402,-2.6222875439691924
-1918.0013261501772,-2.0503862922706704
-1917.0011485500218,-2.410697017764236
-1916.001298050116,-2.691099245115411
-1915.0022700317313,-4.737730392513142
-1914.002339132363,-5.075574751867719
-1913.0016051799867,-4.111031791788215
-1912.0024676782814,-5.2363921891845395
-1911.0021295789047,-4.648899729502761
-1910.0012386731396,-3.37608234702408
-1909.0008459785822,-2.670260556795685
-1908.0008766066967,-2.3464430603764734
-1907.0010920665773,-2.0936209306587132
-1906.0007956670706,-2.040390640748206
-1905.0003381986717,-1.1701736919107217
-1903.9995170480543,1.0532024549683392
-1902.9986412780017,2.2510575069830105
-1902.0004030537966,-0.010555567095746454
-1901.0016801046477,-2.0718486108775425
-1900.0012008201593,-1.4493256673441417
-1898.9999260903642,-0.3690721945824178
-1897.999175108147,1.929292182361416
-1896.9987620570319,3.938488883954976
-1895.9983116997937,4.7829987951326505
-1894.998903808133,3.671637706488739
-1893.9985456255745,4.076708149785529
-1892.9981799063644,4.43778428875685
-1891.9979127475126,4.683360447993687
-1890.9979066795604,5.445062797516739
-1889.9992820176158,2.0176311128863933
-1889.000539257202,-0.851199827884801
-1888.000594361958,-1.1546297882200571
-1887.000152198143,-0.04762632195586214
-1885.9998867054492,1.1458200743232902
-1885.0003435136096,0.24853688120944106
-1884.0018958686742,-1.7480919313454075
-1883.0019867807932,-2.450209343192914
-1882.0008447125801,-1.7170207201214707
-1881.0014107514144,-3.387055850242926
