BASEL_cloud_cover,BASEL_humidity,BASEL_pressure,BASEL_global_radiation,BASEL_precipitation,BASEL_sunshine,BASEL_temp_mean,BASEL_temp_min,BASEL_temp_max
7,0.78,1.018,1.12,0.0,5.3,11.8,10.2,15.6
2,0.86,1.018,1.18,0.0,6.2,8.8,6.1,14.1
0,0.78,1.018,1.42,0.0,9.7,8.8,1.5,17.6
8,0.84,1.018,0.44,0.35,0.2,9.5,5.5,14.4
8,0.84,1.018,0.33,1.15,0.0,8.6,8.1,10.0
8,0.83,1.018,0.33,0.37,0.0,6.9,5.8,8.5
6,0.84,1.018,0.5,0.0,0.5,8.9,6.8,12.1
6,0.84,1.018,0.94,0.0,4.3,8.0,6.6,11.3
7,0.87,1.018,0.31,0.0,0.0,4.4,3.8,6.1
8,0.86,1.018,0.31,0.0,0.0,3.1,2.1,5.0
8,0.83,1.018,0.6,0.0,1.3,6.8,2.8,9.8
8,0.9,1.018,0.3,0.08,0.0,6.8,4.2,8.9
8,0.9,1.018,0.3,0.26,0.0,7.9,7.3,8.8
3,0.85,1.018,1.04,0.0,6.5,7.2,5.0,11.2
8,0.84,1.018,0.29,0.06,0.0,8.2,5.3,10.6
6,0.84,1.018,0.57,0.05,1.4,8.9,7.5,12.1
4,0.86,1.018,0.94,0.0,5.6,4.8,1.9,9.0
5,0.71,1.018,0.79,0.33,3.8,6.0,0.9,10.5
7,0.76,1.018,0.33,0.78,0.1,8.4,5.8,10.3
8,0.79,1.018,0.27,0.48,0.0,9.7,5.0,12.8
8,0.86,1.018,0.26,0.51,0.0,10.7,9.8,12.5
7,0.69,1.018,0.56,0.09,1.7,13.1,10.1,15.8
8,0.79,1.018,0.26,0.0,0.0,8.7,7.4,10.0
7,0.85,1.018,0.36,0.87,0.3,4.7,2.6,6.3
2,0.77,1.018,0.92,0.0,6.7,2.5,0.4,5.7
5,0.86,1.018,0.66,1.03,3.1,0.9,-2.3,4.0
8,0.93,1.018,0.24,1.0,0.0,5.1,2.4,6.6
6,0.8,1.018,0.29,0.19,0.1,6.8,5.3,9.9
8,0.86,1.018,0.24,1.17,0.0,3.5,1.8,4.2
7,0.82,1.018,0.57,0.05,2.4,3.4,1.7,6.4
6,0.89,1.018,0.43,0.0,1.0,0.8,-1.2,3.3
6,0.83,1.018,0.7,0.31,4.2,0.7,-2.8,4.5
5,0.84,1.018,0.41,0.0,0.9,3.0,0.9,5.5
8,0.9,1.018,0.22,0.16,0.0,3.5,1.1,5.1
8,0.79,1.018,0.22,0.0,0.0,4.0,3.6,4.9
7,0.72,1.018,0.33,0.0,0.4,2.3,0.1,4.2
5,0.76,1.018,0.21,0.0,0.0,1.6,0.8,3.7
8,0.8,1.018,0.21,0.0,0.0,1.1,-1.7,3.2
5,0.83,1.018,0.55,0.0,2.7,2.6,1.1,5.5
6,0.76,1.018,0.5,0.01,2.2,3.2,0.1,11.9
7,0.77,1.018,0.2,0.13,0.0,9.4,3.6,11.5
8,0.89,1.018,0.2,0.0,0.0,7.2,6.7,8.6
0,0.82,1.018,0.8,0.0,7.5,4.5,1.0,7.9
0,0.82,1.018,0.8,0.0,7.5,2.7,-0.7,8.7
7,0.78,1.018,0.19,0.01,0.0,6.5,1.3,10.1
2,0.79,1.018,0.76,0.0,7.7,6.2,2.1,10.5
1,0.8,1.018,0.67,0.0,5.7,5.5,2.1,9.8
2,0.72,1.018,0.71,0.0,6.8,7.1,3.5,11.9
2,0.8,1.018,0.56,0.0,3.8,5.2,2.2,12.0
7,0.65,1.018,0.25,0.0,0.2,8.9,3.8,12.5
1,0.76,1.018,0.68,0.0,6.2,9.1,5.5,14.1
7,0.82,1.018,0.32,0.38,0.7,6.4,3.1,9.4
8,0.66,1.018,0.36,0.17,1.1,9.9,6.5,11.7
8,0.64,1.018,0.18,0.16,0.0,12.1,9.6,15.2
7,0.73,1.018,0.36,0.23,1.1,10.0,6.2,12.4
8,0.76,1.018,0.18,0.0,0.0,5.8,5.3,6.0
7,0.84,1.018,0.26,0.07,0.3,2.9,-0.4,12.3
8,0.64,1.018,0.34,0.26,1.0,8.0,4.5,9.8
6,0.69,1.018,0.26,0.6,0.3,7.1,3.2,11.0
5,0.8,1.018,0.39,0.11,1.6,3.5,1.6,5.1
7,0.74,1.018,0.22,0.94,0.1,9.1,1.0,13.8
5,0.68,1.018,0.54,0.06,4.0,4.7,1.8,7.0
8,0.89,1.018,0.17,0.75,0.0,2.7,2.3,3.3
8,0.92,1.018,0.3,0.15,0.6,0.6,-0.2,1.4
8,0.82,1.018,0.17,0.0,0.0,-0.5,-1.3,0.5
8,0.87,1.018,0.17,0.0,0.0,0.6,-0.6,1.6
8,0.86,1.018,0.17,0.07,0.0,0.9,-0.2,1.9
8,0.86,1.018,0.38,0.07,1.4,2.7,0.2,4.5
7,0.81,1.018,0.41,0.0,1.8,2.1,0.5,3.8
8,0.92,1.018,0.17,0.0,0.0,0.0,-0.6,1.7
7,0.74,1.018,0.63,0.07,5.6,2.2,-0.3,4.6
7,0.85,1.018,0.32,0.1,0.8,3.5,0.5,9.6
7,0.79,1.018,0.3,0.29,0.6,3.7,1.5,5.7
6,0.87,1.018,0.39,1.14,1.5,2.2,0.5,4.7
8,0.89,1.018,0.28,0.06,0.4,0.7,-2.1,1.8
6,0.83,1.018,0.4,0.01,1.6,-0.8,-4.4,1.2
5,0.84,1.018,0.34,0.09,0.9,-1.7,-4.0,0.6
8,0.8,1.018,0.44,0.07,2.0,-0.6,-3.7,1.3
8,0.94,1.018,0.18,0.43,0.0,-0.9,-2.2,2.2
8,0.9,1.018,0.25,0.26,0.2,3.0,0.5,5.3
7,0.87,1.018,0.23,0.53,0.1,3.9,2.0,5.6
8,0.88,1.018,0.19,0.4,0.0,3.4,2.0,4.6
7,0.89,1.018,0.42,0.0,1.6,2.5,1.5,4.8
7,0.84,1.018,0.19,0.0,0.0,0.4,-1.6,2.3
7,0.8,1.018,0.19,0.0,0.0,-0.1,-0.8,0.5
8,0.64,1.018,0.19,0.0,0.0,-1.5,-1.8,-0.6
8,0.65,1.018,0.32,0.0,0.5,-4.0,-5.0,-2.6
5,0.76,1.018,0.2,0.0,0.0,-4.5,-5.7,-3.4
0,0.81,1.018,0.69,0.0,5.4,-4.7,-8.1,-0.9
8,0.91,1.018,0.2,0.0,0.0,-5.2,-7.1,-4.7
8,0.83,1.018,0.2,0.0,0.0,-6.3,-7.2,-3.5
8,0.79,1.018,0.21,0.0,0.0,-2.9,-5.2,-1.5
1,0.79,1.018,0.68,0.0,4.7,-2.5,-3.9,0.1
1,0.89,1.018,0.68,0.0,4.5,-3.9,-6.5,-0.6
3,0.83,1.018,0.65,0.0,3.9,-2.5,-5.4,0.1
8,0.82,1.018,0.5,0.42,1.8,-0.1,-3.1,8.3
8,0.92,1.018,0.22,1.15,0.0,3.5,1.5,5.8
5,0.63,1.018,0.7,0.86,4.4,5.7,1.8,8.6
7,0.94,1.018,0.23,1.58,0.0,4.1,2.5,11.3
6,0.84,1.018,0.57,0.0,2.3,3.7,2.1,6.8
7,0.91,1.018,0.32,0.0,0.2,0.4,-0.9,2.6
4,0.76,1.018,0.83,0.0,5.9,0.3,-1.6,3.1
1,0.76,1.018,0.96,0.0,8.1,-1.0,-3.9,2.3
5,0.81,1.018,0.65,0.0,3.0,2.6,-0.6,7.8
7,0.82,1.018,0.48,0.08,1.1,5.1,0.7,9.5
8,0.72,1.018,0.25,0.15,0.0,8.4,4.3,13.4
7,0.68,1.018,0.4,0.12,0.5,4.4,2.8,6.9
8,0.68,1.018,0.26,0.57,0.0,4.9,1.9,8.7
7,0.77,1.018,0.56,0.46,1.6,6.0,3.6,10.0
8,0.84,1.018,0.33,0.82,0.1,8.5,5.6,13.0
7,0.76,1.018,0.55,0.43,1.4,9.3,6.6,12.5
6,0.7,1.018,0.66,0.27,2.3,7.9,6.6,10.4
8,0.76,1.018,0.28,0.08,0.0,6.0,5.3,6.8
4,0.71,1.018,1.05,0.0,7.3,6.3,3.2,11.0
5,0.69,1.018,0.92,0.0,5.2,6.8,3.3,11.9
8,0.89,1.018,0.29,0.34,0.0,5.6,3.9,7.7
5,0.74,1.018,0.83,0.04,3.7,5.5,4.2,8.8
5,0.72,1.018,0.98,0.0,5.5,5.1,3.3,9.2
4,0.7,1.018,0.77,0.0,2.8,3.9,-0.5,7.9
8,0.8,1.018,0.8,0.0,3.0,5.2,2.9,7.4
6,0.82,1.018,0.49,0.0,0.5,3.1,-0.6,7.9
7,0.88,1.018,0.32,0.43,0.0,4.9,2.4,8.3
8,0.9,1.018,0.32,0.17,0.0,5.7,5.2,6.5
5,0.86,1.018,0.89,0.0,3.5,1.8,-0.5,7.1
1,0.73,1.018,1.26,0.0,8.0,1.9,-0.3,4.9
0,0.62,1.018,1.34,0.0,9.0,3.2,-1.1,9.7
0,0.73,1.018,1.35,0.0,8.9,2.7,-1.8,9.9
2,0.68,1.018,1.3,0.36,7.9,4.0,-1.1,10.7
8,0.9,1.018,0.43,0.19,0.1,4.8,2.8,8.2
3,0.86,1.018,1.17,0.0,5.8,4.6,1.6,9.5
5,0.88,1.018,1.04,0.0,4.2,4.4,1.4,10.3
8,0.92,1.018,0.36,0.0,0.0,1.9,0.9,3.9
5,0.82,1.018,1.03,0.0,3.8,2.5,0.8,6.3
8,0.89,1.018,0.38,0.0,0.0,-0.9,-1.4,-0.5
3,0.71,1.018,1.3,0.0,6.5,1.5,-1.3,5.8
1,0.78,1.018,1.63,0.0,9.3,2.2,-2.9,9.0
8,0.77,1.018,1.34,0.0,5.8,3.5,-1.4,9.0
5,0.68,1.018,0.54,0.0,0.2,2.5,1.4,4.8
1,0.63,1.018,1.75,0.0,10.0,1.0,-3.7,7.0
2,0.61,1.018,1.74,0.0,9.7,3.6,-3.2,11.8
8,0.79,1.018,0.52,0.23,0.1,5.5,3.0,9.3
8,0.72,1.018,0.97,0.25,2.1,6.2,3.9,8.8
8,0.89,1.018,0.61,0.81,0.3,3.6,2.4,6.0
7,0.8,1.018,0.79,0.15,1.0,5.1,2.9,8.5
6,0.67,1.018,1.38,0.47,5.0,6.3,2.6,10.0
8,0.8,1.018,1.06,0.12,2.4,4.9,3.2,8.2
6,0.71,1.018,0.47,0.0,0.0,3.9,0.4,7.2
8,0.84,1.018,0.68,0.42,0.4,5.1,3.9,7.4
8,0.84,1.018,0.48,0.0,0.0,5.2,3.6,7.1
8,0.91,1.018,0.49,0.01,0.0,3.6,2.8,4.6
8,0.84,1.018,0.49,0.0,0.0,5.3,3.9,6.9
8,0.86,1.018,0.5,0.0,0.0,5.7,4.7,8.1
4,0.72,1.018,1.87,0.0,8.4,7.6,1.0,15.3
5,0.71,1.018,1.88,0.0,8.3,6.9,2.0,13.7
8,0.93,1.018,0.52,1.21,0.0,1.5,1.1,3.2
7,0.84,1.018,1.03,0.12,1.6,4.5,0.7,9.6
6,0.78,1.018,1.48,0.0,4.4,7.3,3.4,12.8
8,0.86,1.018,0.54,0.09,0.0,5.0,4.0,6.5
7,0.7,1.018,1.12,0.0,1.9,7.8,5.0,11.2
4,0.73,1.018,1.45,0.21,3.9,7.7,3.4,13.3
7,0.64,1.018,1.69,0.5,5.6,8.7,5.2,13.6
8,0.73,1.018,0.71,0.26,0.2,11.1,7.8,14.6
7,0.74,1.018,0.89,0.51,0.7,12.3,10.6,16.5
7,0.51,1.018,1.6,0.13,4.6,11.0,9.5,14.8
7,0.63,1.018,1.29,0.0,2.5,7.6,5.5,11.6
8,0.88,1.018,0.58,0.71,0.0,6.4,4.7,13.7
8,0.64,1.018,0.95,0.26,0.8,13.3,7.1,16.3
6,0.76,1.018,1.73,0.06,5.1,7.2,5.6,10.8
7,0.83,1.018,1.24,0.31,2.0,4.5,3.0,7.9
5,0.71,1.018,1.85,0.0,5.8,4.0,3.1,6.8
7,0.71,1.018,1.54,0.0,3.6,3.4,0.4,7.7
7,0.73,1.018,0.62,0.0,0.0,3.1,0.5,6.3
8,0.65,1.018,1.13,0.0,1.3,5.1,2.0,9.1
6,0.72,1.018,1.14,0.4,1.3,4.6,2.3,7.5
7,0.88,1.018,1.46,0.51,2.8,3.6,2.0,8.3
6,0.66,1.018,1.54,0.0,3.2,5.1,1.2,9.3
4,0.65,1.018,1.73,0.0,4.3,6.9,3.0,11.3
1,0.54,1.018,2.72,0.0,12.3,9.8,2.6,17.3
0,0.55,1.018,2.73,0.0,12.2,10.8,2.3,18.7
0,0.53,1.018,2.73,0.0,12.1,12.5,4.5,20.3
5,0.58,1.018,2.28,0.0,8.0,12.2,4.2,18.9
7,0.66,1.018,2.33,0.01,8.3,13.7,7.8,20.3
7,0.83,1.018,1.26,0.3,1.5,13.3,11.3,18.3
7,0.86,1.018,1.2,0.06,1.2,12.0,8.6,17.7
8,0.79,1.018,0.99,0.08,0.5,9.8,7.6,14.5
7,0.68,1.018,1.66,0.09,3.3,5.3,2.0,8.8
7,0.8,1.018,1.72,0.35,3.6,4.4,2.0,7.2
8,0.91,1.018,1.25,0.32,1.3,3.7,1.9,7.3
8,0.74,1.018,1.12,0.07,0.8,5.3,2.3,9.3
8,0.79,1.018,1.16,0.08,0.9,5.9,3.8,10.3
8,0.77,1.018,0.72,0.03,0.0,6.0,4.4,7.0
8,0.78,1.018,0.72,0.26,0.0,7.3,5.4,10.9
7,0.74,1.018,1.63,0.11,2.8,6.8,4.5,11.4
4,0.68,1.018,2.45,0.0,8.0,8.4,2.8,14.5
3,0.62,1.018,2.91,0.0,11.7,9.9,2.6,16.9
3,0.64,1.018,2.69,0.0,9.7,10.6,3.8,18.2
7,0.72,1.018,2.04,0.0,4.6,11.0,5.0,18.4
5,0.73,1.018,1.35,0.02,1.2,11.7,7.9,14.9
8,0.94,1.018,0.76,1.21,0.0,9.0,7.0,12.0
8,0.86,1.018,0.76,0.03,0.0,8.3,6.5,11.5
8,0.8,1.018,0.76,0.0,0.0,7.4,5.4,10.1
6,0.78,1.018,2.33,0.52,6.2,10.4,5.8,16.0
7,0.75,1.018,1.38,0.27,1.2,11.9,9.7,16.0
8,0.92,1.018,1.1,0.87,0.4,10.0,9.1,13.7
8,0.94,1.018,0.78,0.61,0.0,7.6,6.6,9.3
5,0.68,1.018,2.84,0.0,9.8,10.3,4.7,16.8
0,0.52,1.018,3.26,0.0,13.5,13.5,5.3,20.5
0,0.56,1.018,3.25,0.0,13.3,15.4,7.4,23.1
4,0.57,1.018,2.98,0.16,10.8,15.1,7.6,23.0
8,0.82,1.018,1.44,0.01,1.3,11.8,8.3,15.7
4,0.57,1.018,2.58,0.0,7.5,10.2,4.7,17.3
5,0.57,1.018,2.23,0.0,5.1,8.9,1.9,14.8
5,0.62,1.018,2.57,0.0,7.3,10.3,3.2,17.6
8,0.69,1.018,1.89,0.03,3.1,11.1,6.1,16.4
8,0.77,1.018,1.31,0.0,0.8,11.3,8.0,15.4
1,0.66,1.018,3.09,0.0,11.2,13.3,5.1,20.1
5,0.68,1.018,2.73,0.46,8.3,13.8,6.6,19.8
7,0.75,1.018,1.85,0.06,2.8,13.0,9.1,18.9
1,0.63,1.018,3.05,0.0,10.7,12.3,6.4,18.6
6,0.56,1.018,2.79,0.0,8.6,11.8,6.6,17.6
3,0.61,1.018,3.3,0.0,12.7,13.1,5.1,19.7
4,0.68,1.018,3.02,0.24,10.3,14.6,5.8,22.6
7,0.78,1.018,2.07,0.04,3.8,15.2,11.7,21.3
7,0.88,1.018,1.81,0.47,2.5,13.0,11.8,17.6
8,0.87,1.018,0.84,0.25,0.0,11.5,9.6,14.0
8,0.84,1.018,1.34,0.18,0.8,9.5,6.8,13.2
5,0.88,1.018,2.52,0.37,6.4,9.6,4.0,16.4
8,0.82,1.018,1.14,0.17,0.5,9.2,7.9,11.7
7,0.73,1.018,1.97,0.01,3.8,12.5,8.8,16.6
6,0.79,1.018,1.63,0.0,2.2,13.6,6.8,19.1
6,0.7,1.018,1.73,0.0,2.6,17.1,13.7,22.1
3,0.73,1.018,3.27,0.0,12.3,17.7,9.3,25.1
4,0.74,1.018,2.58,0.0,7.3,19.8,13.0,26.5
8,0.81,1.018,0.95,0.01,0.1,16.5,14.6,20.0
8,0.92,1.018,0.84,0.9,0.0,14.6,14.3,16.4
7,0.78,1.018,1.39,0.26,1.2,16.2,13.2,20.5
7,0.79,1.018,1.11,0.02,0.4,16.3,13.8,22.7
5,0.72,1.018,2.38,0.0,6.0,16.4,9.8,22.3
3,0.64,1.018,3.25,0.0,12.0,19.5,10.8,28.8
6,0.67,1.018,2.59,0.0,7.3,21.3,14.3,28.2
6,0.72,1.018,2.83,2.15,8.9,20.8,15.3,27.9
4,0.86,1.018,2.62,1.08,7.5,15.8,12.5,20.2
6,0.68,1.018,2.45,0.07,6.4,16.5,10.6,22.0
7,0.79,1.018,1.07,0.11,0.3,15.5,13.9,17.3
6,0.73,1.018,2.14,0.06,4.6,14.6,11.4,19.3
7,0.82,1.018,1.12,0.11,0.4,15.7,10.6,19.9
7,0.62,1.018,2.51,0.0,6.8,13.7,11.1,18.2
7,0.68,1.018,1.74,0.0,2.6,13.8,10.6,17.4
5,0.66,1.018,1.93,0.45,3.5,13.7,10.5,17.7
8,0.86,1.018,1.53,0.11,1.7,12.9,10.5,17.8
8,0.72,1.018,0.96,0.01,0.1,13.4,9.6,16.4
8,0.83,1.018,1.53,0.37,1.7,11.0,9.8,17.3
7,0.93,1.018,1.02,1.84,0.2,10.5,9.3,14.8
7,0.83,1.018,1.5,0.35,1.6,11.7,9.6,15.7
7,0.88,1.018,1.15,0.75,0.5,11.8,7.7,15.6
7,0.81,1.018,1.07,0.56,0.3,13.0,11.4,15.0
4,0.74,1.018,2.59,0.0,7.4,14.0,8.3,19.1
7,0.86,1.018,1.44,0.7,1.4,11.4,9.6,18.3
8,0.85,1.018,0.84,0.33,0.0,11.7,9.9,13.1
7,0.81,1.018,1.11,0.09,0.4,13.2,11.6,15.5
7,0.7,1.018,1.56,0.0,1.9,14.2,8.9,19.8
7,0.78,1.018,0.95,0.0,0.1,14.4,10.3,18.6
7,0.79,1.018,1.1,0.0,0.4,15.7,10.5,19.8
7,0.68,1.018,1.58,0.8,2.0,17.4,13.9,21.1
7,0.74,1.018,1.43,1.04,1.4,15.7,12.4,20.3
6,0.79,1.018,1.17,0.53,0.6,13.8,12.4,16.1
8,0.81,1.018,0.83,0.05,0.0,13.0,11.3,14.5
8,0.82,1.018,0.83,0.0,0.0,12.5,10.7,14.4
6,0.74,1.018,1.17,0.0,0.6,14.2,11.3,18.3
8,0.84,1.018,0.82,0.06,0.0,13.2,12.0,14.8
7,0.78,1.018,1.35,0.11,1.2,17.5,12.3,23.0
8,0.93,1.018,0.82,1.33,0.0,15.3,14.8,16.9
7,0.74,1.018,1.26,0.08,0.9,14.6,13.3,17.7
2,0.62,1.018,3.12,0.0,11.7,13.6,8.3,18.1
7,0.78,1.018,1.03,0.1,0.3,13.8,8.9,20.7
7,0.7,1.018,1.39,0.0,1.4,18.2,12.9,24.0
8,0.86,1.018,1.06,0.94,0.4,16.1,13.9,22.2
8,0.7,1.018,1.3,0.0,1.1,12.8,11.1,17.6
0,0.72,1.018,3.34,0.0,13.8,13.6,6.7,20.5
2,0.64,1.018,3.12,0.0,12.1,17.8,7.4,27.1
1,0.62,1.018,3.27,0.0,13.4,21.2,14.3,28.2
0,0.64,1.018,3.26,0.0,13.4,22.1,13.1,30.0
1,0.68,1.018,3.06,1.2,11.8,21.7,15.2,27.5
5,0.79,1.018,1.91,0.0,4.0,19.2,16.4,23.0
4,0.77,1.018,2.67,0.0,8.9,21.0,15.7,26.7
3,0.86,1.018,2.43,1.56,7.3,20.3,14.6,27.3
5,0.72,1.018,1.64,0.0,2.7,18.0,15.5,21.8
3,0.71,1.018,2.89,0.0,10.8,18.3,11.8,24.6
3,0.68,1.018,2.75,0.0,9.8,20.6,12.3,28.7
1,0.64,1.018,3.07,0.0,12.4,24.2,16.7,32.3
5,0.64,1.018,2.29,0.0,6.6,24.6,18.9,30.4
4,0.7,1.018,2.39,0.0,7.4,21.9,16.5,26.1
6,0.69,1.018,2.72,0.0,9.9,20.5,15.6,25.4
2,0.66,1.018,2.96,0.0,11.9,19.9,14.2,25.1
0,0.68,1.018,3.01,1.18,12.4,20.5,12.3,28.7
8,0.81,1.018,1.15,0.2,0.9,18.1,16.5,22.7
5,0.71,1.018,2.4,0.0,7.8,20.3,15.5,26.3
2,0.7,1.018,2.65,0.0,9.8,19.7,13.9,25.7
3,0.7,1.018,2.69,0.25,10.2,20.5,14.9,26.4
6,0.81,1.018,1.26,0.07,1.4,16.5,14.9,20.7
8,0.83,1.018,0.71,0.14,0.0,14.5,11.9,16.1
3,0.7,1.018,2.76,0.0,11.1,19.5,14.7,26.0
5,0.74,1.018,2.28,1.98,7.4,19.7,15.3,26.3
8,0.92,1.018,0.7,0.73,0.0,15.3,14.9,17.0
8,0.79,1.018,1.53,0.0,2.8,17.7,14.9,22.1
5,0.73,1.018,1.83,0.0,4.6,19.5,15.3,24.1
6,0.87,1.018,2.04,2.05,6.0,18.8,14.8,25.4
5,0.72,1.018,2.43,0.0,9.0,19.7,16.7,23.9
1,0.68,1.018,2.75,0.0,11.8,19.9,13.9,26.3
4,0.67,1.018,2.26,0.0,7.9,18.2,16.1,21.4
4,0.66,1.018,2.29,0.0,8.2,12.9,9.4,17.3
1,0.65,1.018,2.78,0.0,12.5,12.4,6.6,18.0
4,0.64,1.018,2.62,0.0,11.2,13.3,5.6,21.3
7,0.71,1.018,1.35,0.09,2.3,16.4,9.4,22.0
8,0.91,1.018,0.64,0.41,0.0,17.3,15.8,20.1
8,0.87,1.018,0.64,0.0,0.0,17.7,15.9,20.5
5,0.76,1.018,1.85,0.83,5.5,19.6,14.4,25.0
7,0.76,1.018,1.83,0.32,5.5,18.4,17.1,22.9
8,0.81,1.018,0.76,0.14,0.2,14.0,13.2,15.8
5,0.7,1.018,1.57,0.0,3.8,14.3,12.3,18.6
4,0.66,1.018,2.33,0.0,10.2,13.4,6.3,20.7
1,0.67,1.018,2.48,0.0,12.0,16.9,9.2,25.5
2,0.73,1.018,2.36,0.0,10.9,18.8,12.5,26.4
7,0.87,1.018,1.05,0.78,1.2,17.6,15.2,23.7
2,0.66,1.018,2.24,0.0,10.0,14.6,10.7,19.7
0,0.72,1.018,2.38,0.0,11.7,14.9,7.7,23.2
1,0.75,1.018,2.3,0.5,11.0,18.2,11.9,25.3
7,0.74,1.018,1.46,0.02,3.7,14.2,12.4,18.2
8,0.75,1.018,1.15,0.28,1.9,13.8,11.3,17.6
7,0.79,1.018,1.04,0.0,1.4,15.4,14.2,18.4
4,0.73,1.018,1.99,0.24,8.6,16.7,11.0,24.0
4,0.68,1.018,2.01,0.0,8.9,14.3,12.6,17.7
5,0.73,1.018,1.95,0.0,8.5,13.8,9.9,18.4
1,0.73,1.018,2.2,0.0,11.4,14.7,8.7,21.8
2,0.73,1.018,2.14,0.0,10.9,15.5,9.3,24.5
7,0.78,1.018,1.26,0.0,3.0,16.5,12.0,22.6
7,0.75,1.018,1.46,0.0,4.6,16.6,11.3,22.6
0,0.74,1.018,1.99,0.0,9.9,19.0,13.5,26.4
0,0.8,1.018,1.87,0.0,8.7,18.7,13.7,25.1
7,0.7,1.018,1.15,0.05,2.6,17.5,14.4,21.1
7,0.89,1.018,0.9,0.73,1.2,17.4,14.1,21.0
4,0.76,1.018,1.82,0.0,8.8,16.8,13.2,21.9
4,0.81,1.018,1.73,0.0,8.0,15.0,10.4,21.7
7,0.77,1.018,1.68,0.0,7.6,16.4,12.2,22.3
5,0.85,1.018,1.2,0.0,3.4,15.5,13.1,20.0
3,0.82,1.018,1.41,0.0,5.3,15.2,12.6,20.1
3,0.86,1.018,1.58,0.0,7.1,13.9,11.2,19.1
3,0.8,1.018,1.58,0.0,7.3,13.8,9.9,19.9
6,0.82,1.018,1.3,0.0,4.7,14.6,8.4,21.1
7,0.85,1.018,0.96,0.0,2.1,14.5,13.2,17.8
7,0.82,1.018,0.76,0.01,1.0,14.3,9.9,18.8
3,0.82,1.018,1.49,0.0,7.1,12.5,9.5,17.9
5,0.84,1.018,1.47,0.0,7.0,13.1,7.0,20.1
5,0.84,1.018,1.37,0.0,6.1,12.2,10.4,17.2
7,0.8,1.018,1.21,0.0,4.6,12.5,8.5,17.4
7,0.77,1.018,0.41,2.65,0.0,13.0,7.9,20.1
7,0.82,1.018,0.75,0.17,1.2,9.1,7.3,13.3
7,0.84,1.018,0.9,0.01,2.3,6.7,5.3,10.5
4,0.66,1.018,1.41,0.48,7.4,7.2,3.7,12.1
8,0.93,1.018,0.38,0.25,0.0,7.2,5.0,10.3
8,0.88,1.018,0.45,1.53,0.1,7.9,6.6,9.8
8,0.91,1.018,0.37,0.04,0.0,6.7,6.0,8.0
7,0.88,1.018,0.78,0.04,1.8,6.4,3.6,10.2
8,0.82,1.018,0.36,0.02,0.0,8.2,6.6,10.2
7,0.86,1.018,0.64,0.27,1.0,10.7,8.4,15.0
7,0.93,1.018,0.35,1.35,0.0,9.1,7.9,10.6
8,0.91,1.018,0.35,0.99,0.0,8.1,7.4,9.8
8,0.92,1.018,0.34,0.13,0.0,6.1,5.7,7.7
2,0.83,1.018,1.3,0.0,8.2,4.9,0.2,11.9
3,0.8,1.018,1.31,0.0,8.5,6.1,1.7,12.4
5,0.83,1.018,1.08,0.0,5.6,7.1,2.9,13.5
7,0.81,1.018,0.73,0.36,2.1,8.8,4.9,13.8
8,0.87,1.018,0.32,0.38,0.0,9.8,8.0,14.9
8,0.88,1.018,0.38,0.16,0.1,7.9,7.0,9.6
3,0.84,1.018,1.23,0.0,8.5,6.7,4.4,12.1
2,0.82,1.018,1.22,0.0,8.6,7.7,2.8,15.5
0,0.84,1.018,1.21,0.0,8.7,10.0,5.6,18.1
5,0.79,1.018,0.53,0.03,0.9,11.4,5.9,18.3
3,0.8,1.018,1.11,0.0,7.6,7.2,5.5,12.1
5,0.93,1.018,0.29,0.0,0.0,1.8,0.2,4.4
8,0.83,1.018,0.28,0.0,0.0,2.6,-0.5,5.5
7,0.61,1.018,0.56,0.01,1.4,0.1,-2.3,2.6
8,0.7,1.018,0.27,0.0,0.0,-0.8,-2.1,0.3
8,0.59,1.018,0.27,0.15,0.0,0.0,-0.7,1.0
8,0.82,1.018,0.27,0.0,0.0,-0.9,-2.3,0.4
8,0.88,1.018,0.26,0.0,0.0,-0.1,-0.8,1.1
8,0.85,1.018,0.31,0.02,0.1,2.8,0.2,4.8
7,0.86,1.018,0.34,0.0,0.2,5.9,3.3,9.5
8,0.94,1.018,0.25,0.06,0.0,3.0,1.0,3.6
8,0.89,1.018,0.25,0.09,0.0,0.5,-0.4,1.7
4,0.83,1.018,0.72,0.0,3.9,-0.3,-2.1,3.1
5,0.88,1.018,0.24,0.74,0.0,-1.7,-3.5,0.1
2,0.9,1.018,0.93,0.0,7.5,-2.0,-7.6,2.1
5,0.89,1.018,0.76,0.0,4.8,-1.6,-3.9,1.3
8,0.9,1.018,0.23,0.2,0.0,1.9,-1.6,10.1
8,0.71,1.018,0.4,0.01,0.8,10.6,4.0,14.9
4,0.86,1.018,0.8,0.12,5.9,7.5,4.6,12.4
7,0.81,1.018,0.44,0.45,1.2,9.4,6.2,12.8
8,0.74,1.018,0.31,0.0,0.3,9.2,7.3,11.7
2,0.75,1.018,0.77,0.0,5.8,8.7,4.1,12.9
3,0.76,1.018,0.83,0.0,6.9,7.3,2.4,14.5
6,0.8,1.018,0.74,0.0,5.5,6.7,2.8,12.4
5,0.82,1.018,0.87,0.0,8.0,6.9,3.2,13.0
3,0.81,1.018,0.76,0.0,6.1,5.5,1.3,10.9
3,0.87,1.018,0.62,0.0,3.8,5.4,0.5,11.9
8,0.95,1.018,0.2,1.52,0.0,4.5,3.8,5.8
