BASEL_cloud_cover,BASEL_humidity,BASEL_pressure,BASEL_global_radiation,BASEL_precipitation,BASEL_sunshine,BASEL_temp_mean,BASEL_temp_min,BASEL_temp_max
5,0.78,1.018,1.31,0.0,2.6,8.8,6.2,14.6
7,0.81,1.018,1.56,0.12,4.1,9.6,5.2,15.5
8,0.88,1.018,0.74,0.34,0.2,8.8,6.7,12.9
4,0.72,1.018,2.29,0.0,9.9,10.7,6.3,16.8
5,0.67,1.018,2.03,0.0,7.4,10.9,2.6,19.5
4,0.72,1.018,1.97,0.0,6.8,8.6,4.8,15.7
0,0.63,1.018,2.52,0.0,11.6,11.1,2.2,20.0
1,0.62,1.018,2.57,0.0,11.9,12.0,3.6,22.7
1,0.59,1.018,2.55,0.0,11.5,13.6,4.1,24.6
6,0.69,1.018,1.21,0.0,1.6,12.1,5.0,20.3
6,0.68,1.018,1.46,0.04,2.8,14.5,8.0,22.3
2,0.69,1.018,2.57,0.0,11.2,13.7,6.5,21.8
7,0.85,1.018,0.75,0.48,0.1,8.6,6.7,14.3
5,0.74,1.018,1.77,0.0,4.5,6.5,4.4,14.8
2,0.68,1.018,2.59,0.01,10.9,9.5,1.4,19.7
7,0.91,1.018,0.66,0.05,0.0,8.6,6.3,12.2
6,0.69,1.018,2.12,0.0,6.7,7.1,0.8,14.6
7,0.78,1.018,1.37,0.3,2.0,6.6,1.8,11.6
8,0.78,1.018,0.79,0.0,0.1,6.7,1.8,9.1
8,0.87,1.018,0.69,0.0,0.0,7.1,6.2,8.6
5,0.93,1.018,0.8,0.0,0.1,8.7,6.2,13.6
3,0.77,1.018,2.15,0.0,6.5,11.6,4.5,20.3
3,0.64,1.018,2.04,0.0,5.6,13.6,2.7,20.9
3,0.65,1.018,2.65,0.0,10.2,11.2,4.8,17.9
8,0.75,1.018,1.69,0.0,3.3,8.5,1.7,14.2
5,0.7,1.018,2.58,0.19,9.4,8.7,1.8,16.6
4,0.57,1.018,2.49,0.0,8.6,6.2,3.6,11.4
7,0.76,1.018,1.2,0.31,1.0,3.9,-1.4,9.2
7,0.91,1.018,1.5,0.36,2.2,2.1,0.1,10.6
8,0.82,1.018,1.8,0.47,3.7,4.0,0.8,10.6
8,0.94,1.018,1.28,0.3,1.2,3.7,0.9,7.5
6,0.87,1.018,1.28,0.23,1.2,4.7,1.3,10.0
4,0.77,1.018,2.1,0.0,5.0,6.1,-1.1,13.0
4,0.72,1.018,2.23,0.0,5.8,6.7,2.2,14.0
2,0.69,1.018,3.08,0.0,12.6,8.9,-1.4,17.7
0,0.58,1.018,3.09,0.0,12.6,11.2,1.3,20.9
3,0.53,1.018,2.8,0.0,9.9,14.0,2.5,20.4
4,0.54,1.018,2.75,0.0,9.4,14.1,2.4,21.5
1,0.52,1.018,3.15,0.0,12.8,15.1,3.0,23.6
1,0.54,1.018,3.18,0.0,13.0,15.5,2.8,24.2
7,0.68,1.018,2.89,0.17,10.3,15.5,5.2,25.1
3,0.71,1.018,3.02,0.0,11.4,16.2,7.7,25.6
7,0.73,1.018,2.26,0.0,5.5,16.7,8.8,23.1
5,0.71,1.018,2.19,0.0,5.0,19.0,11.9,25.6
7,0.74,1.018,2.6,0.59,7.7,18.5,12.0,26.9
5,0.8,1.018,2.11,0.56,4.4,18.1,12.0,24.9
5,0.78,1.018,2.32,0.26,5.7,18.3,10.8,27.2
3,0.78,1.018,2.71,0.87,8.4,17.8,11.7,26.4
1,0.78,1.018,3.31,0.0,13.4,18.1,10.8,25.8
6,0.88,1.018,1.55,0.95,1.6,15.7,11.0,21.6
6,0.81,1.018,2.51,1.26,6.8,14.7,10.2,20.4
